"","name","longitude","latitude","issues","prov","key","scientificName","datasetKey","publishingOrgKey","installationKey","publishingCountry","protocol","lastCrawled","lastParsed","crawlId","hostingOrganizationKey","basisOfRecord","occurrenceStatus","taxonKey","kingdomKey","phylumKey","classKey","orderKey","familyKey","genusKey","speciesKey","acceptedTaxonKey","acceptedScientificName","kingdom","phylum","order","family","genus","species","genericName","specificEpithet","taxonRank","taxonomicStatus","iucnRedListCategory","dateIdentified","coordinateUncertaintyInMeters","stateProvince","year","month","day","eventDate","modified","lastInterpreted","references","license","isInCluster","inCluster","geodeticDatum","class","countryCode","country","rightsHolder","identifier","http://unknown.org/nick","verbatimEventDate","datasetName","verbatimLocality","gbifID","collectionCode","occurrenceID","taxonID","recordedBy","catalogNumber","institutionCode","eventTime","identifiedBy","http://unknown.org/captive","identificationID","reproductiveCondition","occurrenceRemarks","identificationRemarks","projectId","individualCount","informationWithheld"
"1","Asclepias linaria Cav.",-110.646542,32.227499,"cdround","gbif","2543084038","Asclepias linaria Cav.","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2022-02-25T15:36:07.701+00:00","2022-02-25T19:53:51.595+00:00",294,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",3170270,6,7707728,220,412,6701,3170229,3170270,3170270,"Asclepias linaria Cav.","Plantae","Tracheophyta","Gentianales","Apocynaceae","Asclepias","Asclepias linaria","Asclepias","linaria","SPECIES","ACCEPTED","NE","2020-01-03T03:24:08",52,"Arizona",2020,1,1,2020-01-01,"2020-01-05T19:46:16.000+00:00","2022-02-25T19:53:51.595+00:00","https://www.inaturalist.org/observations/37168546","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,FALSE,"WGS84","Magnoliopsida","US","United States of America","annanellis","37168546","annanellis","Wed Jan 01 2020 13:34:26 GMT-0700 (MST)","iNaturalist research-grade observations","Saguaro National Park - Rincon Mountain District (East), Vail, AZ, US","2543084038","Observations","https://www.inaturalist.org/observations/37168546","62295","annanellis","37168546","iNaturalist","20:34:26Z","annanellis","wild","82398055",NA,NA,NA,NA,NA,NA
"2","Asclepias linaria Cav.",-97.637998,19.016784,"cdround","gbif","2557757817","Asclepias linaria Cav.","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","MX","DWC_ARCHIVE","2022-02-25T15:36:07.701+00:00","2022-02-25T19:52:08.205+00:00",294,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",3170270,6,7707728,220,412,6701,3170229,3170270,3170270,"Asclepias linaria Cav.","Plantae","Tracheophyta","Gentianales","Apocynaceae","Asclepias","Asclepias linaria","Asclepias","linaria","SPECIES","ACCEPTED","NE","2020-01-11T17:42:17",3,"Puebla",2020,1,11,2020-01-11,"2020-04-18T16:00:35.000+00:00","2022-02-25T19:52:08.205+00:00","https://www.inaturalist.org/observations/37489662","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,FALSE,"WGS84","Magnoliopsida","MX","Mexico","Enrique Flores García","37489662","enrique_flores_garcia_14","2020-01-11 11:21:39 AM CST","iNaturalist research-grade observations","Gral Felipe Ángeles, Pue., México","2557757817","Observations","https://www.inaturalist.org/observations/37489662","62295","Enrique Flores García","37489662","iNaturalist","18:21:39Z","J. Fernando Pío León","wild","83268536","no evidence of flowering",NA,NA,NA,NA,NA
"3","Asclepias linaria Cav.",-97.637556,19.020865,"cdround","gbif","2557758410","Asclepias linaria Cav.","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","MX","DWC_ARCHIVE","2022-02-25T15:36:07.701+00:00","2022-02-25T20:11:13.225+00:00",294,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",3170270,6,7707728,220,412,6701,3170229,3170270,3170270,"Asclepias linaria Cav.","Plantae","Tracheophyta","Gentianales","Apocynaceae","Asclepias","Asclepias linaria","Asclepias","linaria","SPECIES","ACCEPTED","NE","2020-01-11T17:54:22",3,"Puebla",2020,1,11,2020-01-11,"2020-04-04T02:05:14.000+00:00","2022-02-25T20:11:13.225+00:00","https://www.inaturalist.org/observations/37490658","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,FALSE,"WGS84","Magnoliopsida","MX","Mexico","Enrique Flores García","37490658","enrique_flores_garcia_14","2020-01-11 11:43:40 AM CST","iNaturalist research-grade observations","Gral Felipe Ángeles, Pue., México","2557758410","Observations","https://www.inaturalist.org/observations/37490658","62295","Enrique Flores García","37490658","iNaturalist","18:43:40Z","Lupita Chávez Hernández","wild","83269371","flowering|fruiting",NA,NA,NA,NA,NA
"4","Asclepias linaria Cav.",-102.885479,21.173471,"cdround","gbif","2557797136","Asclepias linaria Cav.","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","MX","DWC_ARCHIVE","2022-02-25T15:36:07.701+00:00","2022-02-25T19:57:36.848+00:00",294,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",3170270,6,7707728,220,412,6701,3170229,3170270,3170270,"Asclepias linaria Cav.","Plantae","Tracheophyta","Gentianales","Apocynaceae","Asclepias","Asclepias linaria","Asclepias","linaria","SPECIES","ACCEPTED","NE","2020-01-14T21:04:12",28,"Jalisco",2020,1,3,2020-01-03,"2020-04-04T02:05:06.000+00:00","2022-02-25T19:57:36.848+00:00","https://www.inaturalist.org/observations/37595440","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,FALSE,"WGS84","Magnoliopsida","MX","Mexico","Gilberto Ponce Tejeda","37595440","poncetejedai_tutor","2020/01/03 3:39 PM CST","iNaturalist research-grade observations","Rastro, 47300 Yahualica de González Gallo, Jal., México","2557797136","Observations","https://www.inaturalist.org/observations/37595440","62295","Gilberto Ponce Tejeda","37595440","iNaturalist","21:39:00Z","Gilberto Ponce Tejeda","wild","83590814","flowering",NA,NA,NA,NA,NA
"5","Asclepias linaria Cav.",-103.040982,21.170113,"cdround","gbif","2557800055","Asclepias linaria Cav.","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","MX","DWC_ARCHIVE","2022-02-25T15:36:07.701+00:00","2022-02-25T19:52:43.686+00:00",294,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",3170270,6,7707728,220,412,6701,3170229,3170270,3170270,"Asclepias linaria Cav.","Plantae","Tracheophyta","Gentianales","Apocynaceae","Asclepias","Asclepias linaria","Asclepias","linaria","SPECIES","ACCEPTED","NE","2020-01-15T03:24:30",247,"Jalisco",2020,1,5,2020-01-05,"2020-04-18T16:00:30.000+00:00","2022-02-25T19:52:43.686+00:00","https://www.inaturalist.org/observations/37605403","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,FALSE,"WGS84","Magnoliopsida","MX","Mexico","Gilberto Ponce Tejeda","37605403","poncetejedai_tutor","2020/01/05 12:33 PM CST","iNaturalist research-grade observations","Yahualica de González Gallo, Jal., México","2557800055","Observations","https://www.inaturalist.org/observations/37605403","62295","Gilberto Ponce Tejeda","37605403","iNaturalist","18:33:00Z","Gilberto Ponce Tejeda","wild","83639123","no evidence of flowering",NA,NA,NA,NA,NA
"6","Asclepias linaria Cav.",-99.190996,19.316369,"cdround","gbif","2563511007","Asclepias linaria Cav.","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","MX","DWC_ARCHIVE","2022-02-25T15:36:07.701+00:00","2022-02-25T20:11:27.114+00:00",294,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",3170270,6,7707728,220,412,6701,3170229,3170270,3170270,"Asclepias linaria Cav.","Plantae","Tracheophyta","Gentianales","Apocynaceae","Asclepias","Asclepias linaria","Asclepias","linaria","SPECIES","ACCEPTED","NE","2020-01-19T01:36:57",579,"Distrito Federal",2020,1,17,2020-01-17,"2020-04-04T02:04:54.000+00:00","2022-02-25T20:11:27.114+00:00","https://www.inaturalist.org/observations/37729500","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,FALSE,"WGS84","Magnoliopsida","MX","Mexico","Daniel Vite","37729500","zomvite","2020-01-17 4:11:55 PM CST","iNaturalist research-grade observations","04510 Ciudad de México, CDMX, México","2563511007","Observations","https://www.inaturalist.org/observations/37729500","62295","Daniel Vite","37729500","iNaturalist","22:11:55Z","Daniel Vite","wild","84191670","flowering",NA,NA,NA,NA,NA
"7","Asclepias linaria Cav.",-100.581376,21.938602,"cdround","gbif","2563565331","Asclepias linaria Cav.","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","MX","DWC_ARCHIVE","2022-02-25T15:36:07.701+00:00","2022-02-25T19:46:16.799+00:00",294,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",3170270,6,7707728,220,412,6701,3170229,3170270,3170270,"Asclepias linaria Cav.","Plantae","Tracheophyta","Gentianales","Apocynaceae","Asclepias","Asclepias linaria","Asclepias","linaria","SPECIES","ACCEPTED","NE","2020-01-23T14:08:01",408,"San Luis Potosí",2020,1,22,2020-01-22,"2020-04-18T16:00:24.000+00:00","2022-02-25T19:46:16.799+00:00","https://www.inaturalist.org/observations/37881695","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,FALSE,"WGS84","Magnoliopsida","MX","Mexico","stephaniechavezpollo","37881695","stephaniechavezpollo","2020-01-22 10:05:06 AM CST","iNaturalist research-grade observations","Zaragoza, S.L.P., México","2563565331","Observations","https://www.inaturalist.org/observations/37881695","62295","stephaniechavezpollo","37881695","iNaturalist","17:05:06Z","stephaniechavezpollo","wild","84693235","no evidence of flowering",NA,NA,NA,NA,NA
"8","Asclepias linaria Cav.",-98.84046,20.114368,"cdround","gbif","2563654607","Asclepias linaria Cav.","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","MX","DWC_ARCHIVE","2022-02-25T15:36:07.701+00:00","2022-02-25T19:55:43.990+00:00",294,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",3170270,6,7707728,220,412,6701,3170229,3170270,3170270,"Asclepias linaria Cav.","Plantae","Tracheophyta","Gentianales","Apocynaceae","Asclepias","Asclepias linaria","Asclepias","linaria","SPECIES","ACCEPTED","NE","2020-01-30T19:42:05",22,"Hidalgo",2020,1,22,2020-01-22,"2020-04-18T16:00:15.000+00:00","2022-02-25T19:55:43.990+00:00","https://www.inaturalist.org/observations/38125568","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,FALSE,"WGS84","Magnoliopsida","MX","Mexico","clorissm","38125568","clorissm","2020/01/22 10:15 AM SST","iNaturalist research-grade observations","Pachuca de Soto, Hgo., México","2563654607","Observations","https://www.inaturalist.org/observations/38125568","62295","clorissm","38125568","iNaturalist","20:15:00Z","clorissm","wild","85427954","no evidence of flowering",NA,NA,NA,NA,NA
"9","Asclepias linaria Cav.",-110.78895,32.37278,"","gbif","2619907565","Asclepias linaria Cav.","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2022-02-25T15:36:07.701+00:00","2022-02-25T19:55:56.007+00:00",294,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",3170270,6,7707728,220,412,6701,3170229,3170270,3170270,"Asclepias linaria Cav.","Plantae","Tracheophyta","Gentianales","Apocynaceae","Asclepias","Asclepias linaria","Asclepias","linaria","SPECIES","ACCEPTED","NE","2020-01-27T20:17:25",NA,"Arizona",2020,1,25,2020-01-25,"2020-01-27T20:23:07.000+00:00","2022-02-25T19:55:56.007+00:00","https://www.inaturalist.org/observations/38035481","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,FALSE,"WGS84","Magnoliopsida","US","United States of America","semiferalhiker","38035481","semiferalhiker","2020/01/25 12:23 PM HST","iNaturalist research-grade observations","Pima County, AZ, USA","2619907565","Observations","https://www.inaturalist.org/observations/38035481","62295","semiferalhiker","38035481","iNaturalist","22:23:00Z","semiferalhiker","wild","85141825",NA,"Observed just east of Hutch's Pool on AZT passage 11",NA,NA,NA,NA
"10","Asclepias linaria Cav.",-110.80847,32.38128,"","gbif","2620002608","Asclepias linaria Cav.","50c9509d-22c7-4a22-a47d-8c48425ef4a7","28eb1a3f-1c15-4a95-931a-4af90ecb574d","997448a8-f762-11e1-a439-00145eb45e9a","US","DWC_ARCHIVE","2022-02-25T15:36:07.701+00:00","2022-02-25T19:56:14.087+00:00",294,"28eb1a3f-1c15-4a95-931a-4af90ecb574d","HUMAN_OBSERVATION","PRESENT",3170270,6,7707728,220,412,6701,3170229,3170270,3170270,"Asclepias linaria Cav.","Plantae","Tracheophyta","Gentianales","Apocynaceae","Asclepias","Asclepias linaria","Asclepias","linaria","SPECIES","ACCEPTED","NE","2020-01-27T20:14:54",NA,"Arizona",2020,1,25,2020-01-25,"2020-01-27T20:23:12.000+00:00","2022-02-25T19:56:14.087+00:00","https://www.inaturalist.org/observations/38035363","http://creativecommons.org/licenses/by-nc/4.0/legalcode",FALSE,FALSE,"WGS84","Magnoliopsida","US","United States of America","semiferalhiker","38035363","semiferalhiker","2020/01/25 11:03 AM HST","iNaturalist research-grade observations","Pima County, AZ, USA","2620002608","Observations","https://www.inaturalist.org/observations/38035363","62295","semiferalhiker","38035363","iNaturalist","21:03:00Z","semiferalhiker","wild","85141583",NA,"Observed along AZT passage 11",NA,NA,NA,NA
