name,longitude,latitude,scientificName,year,month,day,eventDate,individualCount,elevation,stateProvince,countryCode
Asclepias linaria Cav.,-110.693855,32.30652,Asclepias linaria Cav.,2021,2,15,2021-02-15,NA,NA,Arizona,US
Asclepias linaria Cav.,-110.684288,32.340897,Asclepias linaria Cav.,2021,3,19,2021-03-19,NA,NA,Arizona,US
Asclepias linaria Cav.,-109.966307,31.952623,Asclepias linaria Cav.,2021,3,18,2021-03-18,NA,NA,Arizona,US
Asclepias linaria Cav.,-110.792291,32.374223,Asclepias linaria Cav.,2021,3,15,2021-03-15,NA,NA,Arizona,US
Asclepias linaria Cav.,-112.697457,32.0162,Asclepias linaria Cav.,2021,3,30,2021-03-30,NA,NA,Arizona,US
Asclepias linaria Cav.,-109.96462,31.95172,Asclepias linaria Cav.,2021,3,18,2021-03-18,NA,NA,Arizona,US
Asclepias linaria Cav.,-110.68525,32.337155,Asclepias linaria Cav.,2021,4,9,2021-04-09,NA,NA,Arizona,US
Asclepias linaria Cav.,-110.692586,32.336228,Asclepias linaria Cav.,2021,4,13,2021-04-13,NA,NA,Arizona,US
Asclepias linaria Cav.,-109.97313,31.928012,Asclepias linaria Cav.,2021,4,20,2021-04-20,NA,NA,Arizona,US
Asclepias linaria Cav.,-110.645325,32.226037,Asclepias linaria Cav.,2021,4,29,2021-04-29,NA,NA,Arizona,US
Asclepias linaria Cav.,-110.645408,32.225108,Asclepias linaria Cav.,2021,4,29,2021-04-29,NA,NA,Arizona,US
Asclepias linaria Cav.,-110.492133,32.120542,Asclepias linaria Cav.,2021,4,18,2021-04-18,NA,NA,Arizona,US
Asclepias linaria Cav.,-110.792213,32.374272,Asclepias linaria Cav.,2021,4,23,2021-04-23,NA,NA,Arizona,US
Asclepias linaria Cav.,-112.103051,33.532526,Asclepias linaria Cav.,2021,5,1,2021-05-01,NA,NA,Arizona,US
Asclepias linaria Cav.,-110.910816,32.248066,Asclepias linaria Cav.,2021,5,1,2021-05-01,NA,NA,Arizona,US
Asclepias linaria Cav.,-110.755662,32.359795,Asclepias linaria Cav.,2021,5,11,2021-05-11,NA,NA,Arizona,US
Asclepias linaria Cav.,-111.162461,33.261425,Asclepias linaria Cav.,2021,5,22,2021-05-22,NA,NA,Arizona,US
Asclepias linaria Cav.,-110.694683,32.336305,Asclepias linaria Cav.,2021,5,26,2021-05-26,NA,NA,Arizona,US
Asclepias linaria Cav.,-110.86603,32.23515,Asclepias linaria Cav.,2021,5,3,2021-05-03,NA,NA,Arizona,US
Asclepias linaria Cav.,-110.261542,31.341158,Asclepias linaria Cav.,2021,6,6,2021-06-06,NA,NA,Arizona,US
Asclepias linaria Cav.,-110.716107,32.343883,Asclepias linaria Cav.,2021,7,5,2021-07-05,NA,NA,Arizona,US
Asclepias linaria Cav.,-110.645697,32.224637,Asclepias linaria Cav.,2021,7,17,2021-07-17,NA,NA,Arizona,US
Asclepias linaria Cav.,-111.01462,31.794846,Asclepias linaria Cav.,2021,7,17,2021-07-17,NA,NA,Arizona,US
Asclepias linaria Cav.,-109.110291,32.397173,Asclepias linaria Cav.,2021,7,8,2021-07-08,NA,NA,Arizona,US
Asclepias linaria Cav.,-110.945494,31.705132,Asclepias linaria Cav.,2021,7,10,2021-07-10,NA,NA,Arizona,US
Asclepias linaria Cav.,-110.684036,32.342181,Asclepias linaria Cav.,2021,8,13,2021-08-13,NA,NA,Arizona,US
Asclepias linaria Cav.,-110.708095,32.326985,Asclepias linaria Cav.,2021,8,18,2021-08-18,NA,NA,Arizona,US
Asclepias linaria Cav.,-110.978325,33.763195,Asclepias linaria Cav.,2021,8,6,2021-08-06,NA,NA,Arizona,US
Asclepias linaria Cav.,-110.685317,32.337147,Asclepias linaria Cav.,2021,9,28,2021-09-28,NA,NA,Arizona,US
Asclepias linaria Cav.,-110.086517,32.045303,Asclepias linaria Cav.,2021,9,6,2021-09-06,NA,NA,Arizona,US
Asclepias linaria Cav.,-111.015219,31.794912,Asclepias linaria Cav.,2021,9,24,2021-09-24,NA,NA,Arizona,US
Asclepias linaria Cav.,-110.87601,32.41703,Asclepias linaria Cav.,2021,10,14,2021-10-14,NA,NA,Arizona,US
Asclepias linaria Cav.,-110.685052,32.337283,Asclepias linaria Cav.,2021,10,3,2021-10-03,NA,NA,Arizona,US
Asclepias linaria Cav.,-111.051225,31.567817,Asclepias linaria Cav.,2021,10,17,2021-10-17,NA,NA,Arizona,US
Asclepias linaria Cav.,-110.699799,32.326057,Asclepias linaria Cav.,2021,11,3,2021-11-03,NA,NA,Arizona,US
Asclepias linaria Cav.,-111.016633,31.798053,Asclepias linaria Cav.,2021,11,27,2021-11-27,NA,NA,Arizona,US
Asclepias linaria Cav.,-111.015717,31.796039,Asclepias linaria Cav.,2021,11,29,2021-11-29,NA,NA,Arizona,US
Asclepias linaria Cav.,-110.685302,32.337053,Asclepias linaria Cav.,2021,11,26,2021-11-26,NA,NA,Arizona,US
Asclepias linaria Cav.,-111.112786,31.440762,Asclepias linaria Cav.,2021,12,12,2021-12-12,NA,NA,Arizona,US
Asclepias linaria Cav.,-111.184149,31.707276,Asclepias linaria Cav.,2021,12,13,2021-12-13,NA,NA,Arizona,US
Asclepias linaria Cav.,-110.596,32.258739,Asclepias linaria Cav.,2021,12,19,2021-12-19,NA,NA,Arizona,US
Asclepias linaria Cav.,-110.646542,32.227499,Asclepias linaria Cav.,2020,1,1,2020-01-01,NA,NA,Arizona,US
Asclepias linaria Cav.,-110.78895,32.37278,Asclepias linaria Cav.,2020,1,25,2020-01-25,NA,NA,Arizona,US
Asclepias linaria Cav.,-110.80847,32.38128,Asclepias linaria Cav.,2020,1,25,2020-01-25,NA,NA,Arizona,US
Asclepias linaria Cav.,-110.858528,32.353264,Asclepias linaria Cav.,2020,2,14,2020-02-14,NA,NA,Arizona,US
Asclepias linaria Cav.,-110.758287,32.357772,Asclepias linaria Cav.,2020,3,9,2020-03-09,NA,NA,Arizona,US
Asclepias linaria Cav.,-110.691861,32.337219,Asclepias linaria Cav.,2020,3,5,2020-03-05,NA,NA,Arizona,US
Asclepias linaria Cav.,-110.817652,32.309358,Asclepias linaria Cav.,2020,3,11,2020-03-11,NA,NA,Arizona,US
Asclepias linaria Cav.,-110.646964,32.227067,Asclepias linaria Cav.,2020,3,15,2020-03-15,NA,NA,Arizona,US
Asclepias linaria Cav.,-110.713287,32.323142,Asclepias linaria Cav.,2020,4,23,2020-04-23,NA,NA,Arizona,US
Asclepias linaria Cav.,-110.64696000000001,32.22709,Asclepias linaria Cav.,2020,7,10,2020-07-10,NA,NA,Arizona,US
Asclepias linaria Cav.,-111.099517,31.547908,Asclepias linaria Cav.,2020,8,20,2020-08-20,NA,NA,Arizona,US
Asclepias linaria Cav.,-110.261467,31.341244,Asclepias linaria Cav.,2020,9,6,2020-09-06,NA,NA,Arizona,US
Asclepias linaria Cav.,-110.756035,32.358971,Asclepias linaria Cav.,2020,9,8,2020-09-08,NA,NA,Arizona,US
Asclepias linaria Cav.,-110.261621,31.341031,Asclepias linaria Cav.,2020,10,4,2020-10-04,NA,NA,Arizona,US
Asclepias linaria Cav.,-110.685347,32.337095,Asclepias linaria Cav.,2020,11,12,2020-11-12,NA,NA,Arizona,US
Asclepias linaria Cav.,-110.899381,31.53196,Asclepias linaria Cav.,2020,12,17,2020-12-17,NA,NA,Arizona,US
Asclepias linaria Cav.,-110.899388,31.532457,Asclepias linaria Cav.,2020,12,17,2020-12-17,NA,NA,Arizona,US
Asclepias linaria Cav.,-110.691398,32.338928,Asclepias linaria Cav.,2020,12,18,2020-12-18,NA,NA,Arizona,US
Asclepias linaria Cav.,-108.955477,31.867689,Asclepias linaria Cav.,2020,12,21,2020-12-21,NA,NA,New Mexico,US
Asclepias linaria Cav.,-109.503347,32.234978,Asclepias linaria Cav.,2019,1,6,2019-01-06,NA,NA,Arizona,US
Asclepias linaria Cav.,-110.858488,32.353222,Asclepias linaria Cav.,2019,1,24,2019-01-24,NA,NA,Arizona,US
Asclepias linaria Cav.,-110.655733,32.23542,Asclepias linaria Cav.,2019,3,2,2019-03-02,NA,NA,Arizona,US
Asclepias linaria Cav.,-110.655496,32.23544,Asclepias linaria Cav.,2019,3,30,2019-03-30,NA,NA,Arizona,US
Asclepias linaria Cav.,-110.716595,32.340543,Asclepias linaria Cav.,2019,3,31,2019-03-31,NA,NA,Arizona,US
Asclepias linaria Cav.,-110.981591,32.33944,Asclepias linaria Cav.,2019,4,5,2019-04-05,NA,NA,Arizona,US
Asclepias linaria Cav.,-110.502187,32.162657,Asclepias linaria Cav.,2019,5,5,2019-05-05,NA,NA,Arizona,US
Asclepias linaria Cav.,-110.78093,31.800138,Asclepias linaria Cav.,2019,5,17,2019-05-17,NA,NA,Arizona,US
Asclepias linaria Cav.,-110.921906,33.806538,Asclepias linaria Cav.,2019,5,10,2019-05-10,NA,NA,Arizona,US
Asclepias linaria Cav.,-110.981591,32.33944,Asclepias linaria Cav.,2019,5,5,2019-05-05,NA,NA,Arizona,US
Asclepias linaria Cav.,-110.021127,31.869066,Asclepias linaria Cav.,2019,5,24,2019-05-24,NA,1490,Arizona,US
Asclepias linaria Cav.,-110.691054,32.336323,Asclepias linaria Cav.,2019,6,18,2019-06-18,NA,NA,Arizona,US
Asclepias linaria Cav.,-110.693705,32.335065,Asclepias linaria Cav.,2019,7,8,2019-07-08,NA,NA,Arizona,US
Asclepias linaria Cav.,-110.675552,32.216946,Asclepias linaria Cav.,2019,7,31,2019-07-31,NA,NA,Arizona,US
Asclepias linaria Cav.,-110.9232,31.573,Asclepias linaria Cav.,2019,8,2,2019-08-02,NA,NA,Arizona,US
Asclepias linaria Cav.,-110.886816,31.741546,Asclepias linaria Cav.,2019,8,9,2019-08-09,NA,NA,Arizona,US
Asclepias linaria Cav.,-110.701325,32.32587,Asclepias linaria Cav.,2019,8,13,2019-08-13,NA,NA,Arizona,US
Asclepias linaria Cav.,-109.499367,32.237683,Asclepias linaria Cav.,2019,8,5,2019-08-05,NA,NA,Arizona,US
Asclepias linaria Cav.,-109.501092,32.236665,Asclepias linaria Cav.,2019,8,5,2019-08-05,NA,NA,Arizona,US
Asclepias linaria Cav.,-110.699903,32.326452,Asclepias linaria Cav.,2019,8,26,2019-08-26,NA,NA,Arizona,US
Asclepias linaria Cav.,-110.699708,32.326205,Asclepias linaria Cav.,2019,9,22,2019-09-22,NA,NA,Arizona,US
Asclepias linaria Cav.,-110.886863,31.741472,Asclepias linaria Cav.,2019,9,27,2019-09-27,NA,NA,Arizona,US
Asclepias linaria Cav.,-110.76097,32.36847,Asclepias linaria Cav.,2019,10,5,2019-10-05,NA,NA,Arizona,US
Asclepias linaria Cav.,-110.76095,32.36843,Asclepias linaria Cav.,2019,10,5,2019-10-05,NA,NA,Arizona,US
Asclepias linaria Cav.,-110.75649,32.37076,Asclepias linaria Cav.,2019,10,5,2019-10-05,NA,NA,Arizona,US
Asclepias linaria Cav.,-110.75786,32.371,Asclepias linaria Cav.,2019,10,5,2019-10-05,NA,NA,Arizona,US
Asclepias linaria Cav.,-110.86693,32.41124,Asclepias linaria Cav.,2019,11,30,2019-11-30,NA,NA,Arizona,US
Asclepias linaria Cav.,-110.88226,32.42007,Asclepias linaria Cav.,2019,11,30,2019-11-30,NA,NA,Arizona,US
Asclepias linaria Cav.,-110.85594,32.41078,Asclepias linaria Cav.,2019,11,30,2019-11-30,NA,NA,Arizona,US
Asclepias linaria Cav.,-110.883433,32.420149,Asclepias linaria Cav.,2019,11,30,2019-11-30,NA,NA,Arizona,US
Asclepias linaria Cav.,-110.647751,32.226236,Asclepias linaria Cav.,2019,12,31,2019-12-31,NA,NA,Arizona,US
