prov,latitude,longitude,source
gbif,32.30652,-110.693855,gbif
gbif,32.340897,-110.684288,gbif
gbif,31.952623,-109.966307,gbif
gbif,32.374223,-110.792291,gbif
gbif,32.0162,-112.697457,gbif
gbif,31.95172,-109.96462,gbif
gbif,32.337155,-110.68525,gbif
gbif,32.336228,-110.692586,gbif
gbif,31.928012,-109.97313,gbif
gbif,32.226037,-110.645325,gbif
gbif,32.225108,-110.645408,gbif
gbif,32.120542,-110.492133,gbif
gbif,32.374272,-110.792213,gbif
gbif,33.532526,-112.103051,gbif
gbif,32.248066,-110.910816,gbif
gbif,32.359795,-110.755662,gbif
gbif,33.261425,-111.162461,gbif
gbif,32.336305,-110.694683,gbif
gbif,32.23515,-110.86603,gbif
gbif,31.341158,-110.261542,gbif
gbif,32.343883,-110.716107,gbif
gbif,32.224637,-110.645697,gbif
gbif,31.794846,-111.01462,gbif
gbif,32.397173,-109.110291,gbif
gbif,31.705132,-110.945494,gbif
gbif,32.342181,-110.684036,gbif
gbif,32.326985,-110.708095,gbif
gbif,33.763195,-110.978325,gbif
gbif,32.337147,-110.685317,gbif
gbif,32.045303,-110.086517,gbif
gbif,31.794912,-111.015219,gbif
gbif,32.41703,-110.87601,gbif
gbif,32.337283,-110.685052,gbif
gbif,31.567817,-111.051225,gbif
gbif,32.326057,-110.699799,gbif
gbif,31.798053,-111.016633,gbif
gbif,31.796039,-111.015717,gbif
gbif,32.337053,-110.685302,gbif
gbif,31.440762,-111.112786,gbif
gbif,31.707276,-111.184149,gbif
gbif,32.258739,-110.596,gbif
gbif,32.227499,-110.646542,gbif
gbif,32.37278,-110.78895,gbif
gbif,32.38128,-110.80847,gbif
gbif,32.353264,-110.858528,gbif
gbif,32.357772,-110.758287,gbif
gbif,32.337219,-110.691861,gbif
gbif,32.309358,-110.817652,gbif
gbif,32.227067,-110.646964,gbif
gbif,32.323142,-110.713287,gbif
gbif,32.22709,-110.64696000000001,gbif
gbif,31.547908,-111.099517,gbif
gbif,31.341244,-110.261467,gbif
gbif,32.358971,-110.756035,gbif
gbif,31.341031,-110.261621,gbif
gbif,32.337095,-110.685347,gbif
gbif,31.53196,-110.899381,gbif
gbif,31.532457,-110.899388,gbif
gbif,32.338928,-110.691398,gbif
gbif,31.867689,-108.955477,gbif
gbif,32.234978,-109.503347,gbif
gbif,32.353222,-110.858488,gbif
gbif,32.23542,-110.655733,gbif
gbif,32.23544,-110.655496,gbif
gbif,32.340543,-110.716595,gbif
gbif,32.33944,-110.981591,gbif
